asteroid_number,H,da_AU,D_deg,f_degy,e_p,g_arcsec_y,sin_i_p,s_arcsec_y,L,My
312464,14.05,0.0587,12.06,2.431,0.0459,369.34,0.0632,-11.91,4,5
312465,14.05,0.0295,6.02,2.451,0.0544,361.96,0.0523,-9.54,4,5
312466,13.83,0.0475,9.67,2.451,0.1007,358.24,0.1025,-13.44,4,5
312467,13.92,0.0812,16.88,2.402,0.0292,376.69,0.0998,-14.57,4,5
312468,14.16,0.1201,25.75,2.331,0.0302,8.28,0.1278,-22.91,4,50
312469,14.11,0.0389,7.93,2.452,0.0644,364.0,0.0125,-10.77,4,5
312471,12.93,0.0443,9.16,2.415,0.0583,351.23,0.1962,-9.46,4,5
312472,14.1,0.0722,15.02,2.399,0.031,366.44,0.1576,-12.52,4,5
312474,13.29,0.0852,17.74,2.399,0.0611,374.27,0.1206,-16.4,4,5
312475,14.21,0.1438,31.58,2.274,0.0243,420.13,0.0747,-31.47,4,5
312476,13.2,0.0964,21.39,2.251,0.0269,312.02,0.4101,-11.38,4,5
312477,14.05,0.0559,11.52,2.424,0.064,341.69,0.1368,-11.55,4,50
312478,13.32,0.0861,17.99,2.39,0.057,329.44,0.1461,-15.87,4,50
312479,14.21,0.0835,17.32,2.408,0.0597,341.74,0.074,-16.11,4,50
312480,13.52,0.0605,12.62,2.394,0.0482,352.47,0.2179,-10.52,4,5
312482,13.52,0.0874,18.3,2.384,0.0233,374.88,0.145,-15.13,4,5
312483,14.07,0.1108,23.42,2.364,0.041,216.37,0.0344,-21.63,4,50
312484,13.81,0.0713,14.74,2.416,0.0477,371.43,0.0993,-13.53,4,5
312486,13.98,0.0839,17.46,2.401,0.027,379.81,0.0782,-15.17,4,5
312487,13.47,0.1086,23.01,2.356,0.0105,388.87,0.1183,-19.86,4,5
312608,14.1,0.0319,6.57,2.426,0.014,356.17,0.155,-7.85,4,5
312609,13.41,0.0661,13.65,2.419,0.0055,266.49,0.0722,-12.02,4,5
312610,13.48,0.0443,9.09,2.436,0.0287,365.09,0.0788,-9.75,4,5
312611,14.14,0.0379,7.73,2.45,0.0643,362.77,0.0535,-10.58,4,5
312612,13.66,0.0774,16.03,2.411,0.0558,373.55,0.0965,-14.91,4,5
312614,13.56,0.066,13.8,2.387,0.0442,353.63,0.2217,-11.04,4,5
312615,14.03,0.0849,17.56,2.415,0.1038,368.88,0.1163,-19.37,4,50
312616,14.29,0.0819,17.02,2.404,0.0259,378.98,0.0768,-14.79,4,5
312617,13.47,0.0573,11.89,2.407,0.0424,357.34,0.1833,-10.45,4,5
312618,14.65,0.0321,6.49,2.47,0.1396,346.93,0.1318,-15.14,4,5
312619,13.74,0.0326,6.75,2.41,0.0891,338.65,0.2448,-9.29,4,5
312620,14.18,0.1062,22.44,2.363,0.0561,334.34,0.1305,-20.45,4,50
312621,14.02,0.0975,20.53,2.372,0.0425,228.55,0.1429,-17.52,4,50
312622,13.77,0.0858,17.9,2.393,0.0459,374.73,0.1302,-15.69,4,5
312623,14.23,0.0747,15.27,2.444,0.1185,367.71,0.0417,-19.41,4,5
312624,14.07,0.0291,5.92,2.452,0.0957,354.06,0.1215,-11.03,4,50
312625,14.13,0.136,29.54,2.3,0.0537,340.94,0.093,-29.68,4,50
312626,12.79,0.0833,17.36,2.395,0.0573,371.09,0.1433,-15.58,4,5
312627,13.32,0.0265,5.36,2.469,0.1215,350.97,0.1088,-13.28,4,5
312628,14.28,0.0814,17.08,2.381,0.0358,365.6,0.1868,-13.82,4,5
312629,13.94,0.0985,20.65,2.383,0.0281,388.61,0.0613,-18.27,4,5
312630,13.42,0.1064,22.52,2.361,0.0402,211.55,0.1204,-19.82,4,50
